ref,name,theme,category,class,confidence,capex_central_£,capex_low_£,capex_high_£,annual_elec_kWh,annual_gas_kWh,annual_£_saving,EUI_Δ_kWh_m2,lifetime_tCO2e,£_per_tCO2e,simple_payback_yr,flags,basis
3.3,Setpoint optimisation (heating/cooling dead-band),Heating & cooling,Controls,A,H,0,0,500,13084,0,3664,-3.1,8.4,0,0.0,EP-validated ✓ ,"Heating 21→20, cooling 24→25 (doc example). Widened dead-band within comfort agreement."
1.1,Reduce DHW demand (low-flow fittings),Hot water,Systems (water),A,M,8280,5520,13800,8011,30627,4387,-9.2,89.7,92,1.9,EP-validated ✓ ,DHW demand −19.5%: shower fraction 65% (mid 60–70%) × low-flow volume reduction 30% (aerator/regulator standard). Within the doc's −10..−25% band.
1.4,Larger ASHP — full DHW off gas,Hot water,Systems,A,M,105000,80000,140000,-47562,157428,-2297,-26,399.3,263,,EP-validated ✓ ,"Gas DHW off (share 0), ASHP serves 100% at high-temp SCOP 2.9 (mid 2.8–3.0). The principal carbon measure (gas→electric)."
1.2,Waste-water heat recovery (WWHR),Hot water,Systems,B,L,22000,15000,35000,7412,28337,4059,-8.5,83.0,265,5.4,EP-validated ✓ allowance-only,Design note: DHW demand scalar 0.82 (shower 65% × HX effectiveness 45% × config factor 0.6 ≈ −18%). Modelled as demand-litres ×0.82 (55→45.1). SAME PATH as 1.1 — see cumulative caveat.
2.2,Reduce fan duty,Ventilation,Systems/controls,A,M,2600,1500,5000,15101,0,4228,-3.6,9.7,268,0.6,EP-validated ✓ ,"Bedroom extract flow 2208→1590 (−28%, per doc's 2292→1656 case). Fan power falls with the cube law → SFP scaled by (flow ratio)² (0.9→0.47) so fan energy ∝ flow³."
4.2,Automatic room shut-off (keycard/occupancy master switch),Room loads,Occupancy,A,M,19320,11000,28000,45631,0,12777,-10.8,29.4,657,1.5,EP-validated ✓ ,Room plug load −25% (mid of doc's −20..−30% when unoccupied). Equipment baseload 5.04→3.78 W/m² (net occupancy-weighted).
1.3,Exhaust air over ASHP (COP uplift),Hot water,Systems,B,L,4550,3050,8550,4844,0,1356,-1.1,3.4,1338,3.4,EP-validated ✓ allowance-only,"Design note: preheat-stage COP +0.4 absolute (3.0→3.4), applies to the ASHP preheat share of DHW (dhw[1], 48%). SAME PATH as 1.4 — see cumulative caveat."
3.1,"VRF metering, commissioning & diagnostic health check",Heating & cooling,Systems/controls,B,M,8100,5000,12000,7233,0,2025,-1.7,4.7,1723,4.0,EP-validated ✓ ,"Design note sensitivity band: none / central +0.4 / strong (managed 3.9). CENTRAL (+0.4 on in-service VRF heating SCOP + cooling EER, 3.0→3.4) is the stack member; none/strong stored as sensitivity. SAME PATH as 3.2 — 3.2 composes on the post-3.1 state."
1.5,Interlinked heat recovery — VRF→DHW,Hot water,Systems,C,L,25000,15000,35000,20622,0,5774,-4.89,14.4,1736,4.3,allowance-only off-model,"Off-model (Class C): monthly-coincidence calc, 55% capture. Neither engine models inter-plant heat flows."
7.1,Solar PV,Carbon,Other,C,H,55000,35000,55000,40375,0,11305,0.0,30.8,1786,4.9,off-model,"Off-model (Class C): 50 kWp × 950 kWh/kWp = 47.5 MWh/yr, 85% self-consumption; EUI UNCHANGED by construction (CRREM gross-demand rule). Carbon valued on the declining grid pathway."
3.4,Fabric — glazing G-value (solar film),Heating & cooling,Fabric,A,M,8685,5000,14000,4434,0,1242,-1,3.4,2554,7.0,EP-validated ✓ ,"Glazing g 0.55→0.42 (nearest library construction double_low_e; u unchanged at 1.4 — film reduces g, not u; doc target g 0.40). Expected marginal/counterproductive here (cuts useful winter heat, raises cooling). Film life ~10–15y in reality but note maps fabric→30y."
